Iban source,Amount,Transaction type,Company Name
TL820186104563420010641,926.56,invoice,Mertz and Sons
FO0214950047900753,373.69,withdrawal,Bauch  Hills and Ziemann
ME14009964003005006453,443.88,withdrawal,Bogisich Inc
TR7399429V3257LP7Q5018R675,154.56,withdrawal,Wiegand  Huels and Langosh
RO26UOAZ57H701S876024772,923.67,deposit,McGlynn LLC
NL31AUZG2080900107,9.77,payment,Dooley Inc
SA6678V49124SG522N577852,794.18,invoice,Rowe Group
KW87AXXK78L5N26I6087978198041O,541.16,invoice,Graham  Bogan and Windler
DK1910550382909719,621.82,withdrawal,Koelpin - Murazik
DK8600220070069819,36.87,deposit,Hermiston  O'Keefe and Altenwerth
GB48QYIC55801300362391,244.39,deposit,Will - Rohan
TR98627893W269Z7C501533583,299.95,deposit,Hoppe and Sons
BH30RJXL928F356M42L575,14.84,withdrawal,Volkman and Sons
GB72FPOU33095032965422,940.14,withdrawal,Swift - Turcotte
PL87794880098052792070638779,685.67,invoice,Schimmel  Bernhard and Von
SI23020074004387008,800.50,invoice,Gottlieb  Lubowitz and Lesch
GR7773202136H1F10Q734M5069I,694.43,payment,Murray Inc
AZ31494400136034300263220823,769.20,withdrawal,Walker  Keeling and Streich
IT32X04895520780D2D89B7D9E1,84.87,withdrawal,Lebsack - Johnson
SA025621P87100486WX07529,780.38,invoice,Hilpert  Rempel and Lang
PL19072417736546449430924002,942.67,deposit,McDermott - Wuckert
IL093658760009780515044,475.82,deposit,Windler - Kiehn
SM88M0103541008521RH23P001H,539.97,deposit,Powlowski Group
AL6170800814701821347381E70V,746.95,withdrawal,Hermiston Inc
DO40CDZL00857500500190307250,44.46,deposit,Heaney  Swaniawski and Kuphal
GE36288080087006002132,80.70,withdrawal,Kiehn Inc
MR7200650690010035629017853,507.41,deposit,Kerluke - Ritchie
MC352940081007580V086852Y79,628.02,invoice,Stroman - Farrell
DO60IQXW06408010338020090070,339.93,payment,Reichel  Aufderhar and Christiansen
GI03DJJT3240N980S999133,721.15,payment,O'Keefe - Tremblay
PT38009800639105007599044,500.03,deposit,Collins Inc
GI54HZYE18419206K835610,547.10,deposit,Rogahn  Daniel and Homenick
AL6600030348265A882ZQ14N1146,698.85,withdrawal,Hane  Lebsack and Lesch
KW98CLAG862364X6322560QG903560,318.14,deposit,Nikolaus  Pollich and Schneider
GI61EFJK15952009E9D6642,186.01,deposit,Schmidt - Fahey
LI2164231417U66A58385,246.84,deposit,Okuneva  Romaguera and Langworth
